date,player_name,goals_scored,penalty,own_goal
1955-02-12T00:00:00Z,Ilott (first Western League game),1,0,0
1955-02-12T00:00:00Z,Wally Potts,1,0,0
1955-02-19T00:00:00Z,Waite,1,0,0
1955-03-12T00:00:00Z,Woodland,1,0,0
1955-03-26T00:00:00Z,Wally Potts,1,0,0
1955-04-02T00:00:00Z,Light,1,0,0
1955-04-08T00:00:00Z,Woodford,1,1,0
1955-04-08T00:00:00Z,Light,1,0,0
1955-04-09T00:00:00Z,Smith,3,0,0
1955-04-09T00:00:00Z,Gerry Fielding,1,0,0
1955-04-23T00:00:00Z,Watts,1,0,0
1955-04-23T00:00:00Z,Wally Potts,1,0,0
1955-04-23T00:00:00Z,Smith,1,0,0
1955-04-23T00:00:00Z,Jock Guyan,1,0,0
1955-05-03T00:00:00Z,Jerry Fielding,1,0,0
1955-08-20T00:00:00Z,Unknown,1,0,0
1955-08-24T00:00:00Z,Lawrence,2,0,0
1955-08-24T00:00:00Z,Smith,1,0,0
1955-08-24T00:00:00Z,Jock Guyan,2,0,0
1955-08-27T00:00:00Z,Wally Potts,1,0,0
1955-08-31T00:00:00Z,Derek Woodford,1,0,0
1955-08-31T00:00:00Z,Wally Potts,1,0,0
1955-08-31T00:00:00Z,Pearce,1,0,0
1955-09-03T00:00:00Z,O’Reilly,1,0,0
1955-09-05T00:00:00Z,Smith,1,0,0
1955-09-10T00:00:00Z,Wally Potts,1,0,0
1955-09-13T00:00:00Z,O’Reilly,1,0,0
1955-09-17T00:00:00Z,Hawkins,2,0,0
1955-09-17T00:00:00Z,Smith,2,0,0
1955-09-24T00:00:00Z,Smith,2,0,0
1955-09-24T00:00:00Z,Jock Guyan,1,0,0
1955-10-01T00:00:00Z,Jock Guyan,1,0,0
1955-10-01T00:00:00Z,Hawkins,2,0,0
1955-10-01T00:00:00Z,Smith,1,0,0
1955-10-08T00:00:00Z,Smith,1,0,0
1955-10-15T00:00:00Z,Bill Holloway,1,0,0
1955-10-29T00:00:00Z,Bill Cuff,1,0,0
1955-10-29T00:00:00Z,Lear,1,0,0
1955-10-29T00:00:00Z,Hawkins,1,0,0
1955-10-29T00:00:00Z,Wally Potts,1,0,0
1955-11-05T00:00:00Z,Wally Potts,1,0,0
1955-11-05T00:00:00Z,Hawkins,2,0,0
1955-11-12T00:00:00Z,Bill Cuff,1,0,0
1955-11-19T00:00:00Z,Bill Cuff,1,0,0
1955-11-19T00:00:00Z,Hawkins,2,0,0
1955-12-03T00:00:00Z,Bill Cuff,2,0,0
1955-12-03T00:00:00Z,Wally Potts,2,0,0
1955-12-03T00:00:00Z,Hawkins,2,0,0
1955-12-03T00:00:00Z,Hazzall,1,0,0
1955-12-10T00:00:00Z,Wally Potts,1,0,0
1955-12-10T00:00:00Z,Hawkins,1,0,0
1955-12-17T00:00:00Z,Wally Potts,1,0,0
1955-12-17T00:00:00Z,Bill Cuff,1,0,0
1955-12-17T00:00:00Z,Hawkins,1,0,0
1955-12-24T00:00:00Z,Hawkins,2,0,0
1955-12-24T00:00:00Z,Hazzall,1,0,0
1955-12-26T00:00:00Z,Unknown,1,0,0
1955-12-27T00:00:00Z,Hawkins,2,0,0
1955-12-27T00:00:00Z,Wally Potts,1,0,0
1955-12-31T00:00:00Z,Hawkins,1,0,0
1956-01-07T00:00:00Z,Gerry Fielding,1,0,0
1956-01-07T00:00:00Z,O’Reilly,2,0,0
1956-01-07T00:00:00Z,Smith,1,0,0
1956-01-14T00:00:00Z,O’Reilly,1,0,0
1956-01-21T00:00:00Z,Hawkins,2,0,0
1956-01-21T00:00:00Z,O’Reilly,1,0,0
1956-01-21T00:00:00Z,Bill Cuff,1,0,0
1956-01-28T00:00:00Z,Lear,1,0,0
1956-02-04T00:00:00Z,O’Reilly,1,0,0
1956-02-11T00:00:00Z,Smith,1,0,0
1956-02-18T00:00:00Z,Wally Potts,1,0,0
1956-03-03T00:00:00Z,Unknown,1,0,0
1956-03-10T00:00:00Z,Smith,1,0,0
1956-03-24T00:00:00Z,Hawkins,3,0,0
1956-03-24T00:00:00Z,Wally Potts,1,0,0
1956-03-30T00:00:00Z,Hawkins,2,0,0
1956-03-31T00:00:00Z,Hawkins,1,0,0
1956-04-02T00:00:00Z,Thomas,1,0,0
1956-04-07T00:00:00Z,Hawkins,2,0,0
1956-04-07T00:00:00Z,Wally Potts,1,0,0
1956-04-26T00:00:00Z,Shepherd,1,0,0
1956-04-26T00:00:00Z,Wally Potts,1,0,0
1956-04-26T00:00:00Z,Hawkins,1,0,0
1956-04-28T00:00:00Z,Bill Cuff,1,0,0
1956-04-28T00:00:00Z,Hawkins,1,0,0
1956-04-30T00:00:00Z,Smith,1,0,0
1956-05-02T00:00:00Z,Smith,1,0,0
1956-09-01T00:00:00Z,Bryant,1,0,0
1956-09-08T00:00:00Z,Eddie Attwood,4,0,0
1956-09-08T00:00:00Z,Wally Potts,1,0,0
1956-09-08T00:00:00Z,O’Reilly,1,0,0
1956-09-15T00:00:00Z,Unknown,1,0,0
1956-09-22T00:00:00Z,Hazzall,1,0,0
1956-09-22T00:00:00Z,Bill Holloway,1,0,0
1956-09-22T00:00:00Z,Hancock,1,0,0
1956-09-22T00:00:00Z,Derek Woodford,1,0,0
1956-09-29T00:00:00Z,Shepherd,1,0,0
1956-09-29T00:00:00Z,Bill Cuff,1,0,0
1956-09-29T00:00:00Z,Derek Woodford,1,0,0
1956-09-29T00:00:00Z,Eddie Attwood,1,0,0
1956-10-27T00:00:00Z,Plummer,2,0,0
1956-10-27T00:00:00Z,Ray Tarr,1,0,0
1956-10-27T00:00:00Z,Bill Holloway,2,0,0
1956-11-03T00:00:00Z,Eddie Attwood,1,0,0
1956-11-03T00:00:00Z,Ray Tarr,1,0,0
1956-11-10T00:00:00Z,Ray Tarr,1,0,0
1956-11-17T00:00:00Z,Plummer,1,0,0
1956-11-17T00:00:00Z,Unknown,1,0,0
1956-11-24T00:00:00Z,Ray Tarr,1,0,0
1956-12-01T00:00:00Z,Eddie Attwood,1,0,0
1956-12-01T00:00:00Z,Shepherd,1,0,0
1956-12-08T00:00:00Z,Hazzall,2,0,0
1956-12-08T00:00:00Z,Derek Woodford,1,0,0
1956-12-15T00:00:00Z,Shepherd,1,0,0
1956-12-15T00:00:00Z,Ray Tarr,3,0,0
1956-12-15T00:00:00Z,Derek Woodford,1,0,0
1956-12-25T00:00:00Z,Ray Tarr,3,0,0
1957-01-05T00:00:00Z,Eddie Attwood,1,0,0
1957-01-05T00:00:00Z,Ray Tarr,1,0,0
1957-01-12T00:00:00Z,Ray Tarr,1,0,0
1957-01-12T00:00:00Z,Derek Woodford,1,0,0
1957-01-19T00:00:00Z,Ray Tarr,1,0,0
1957-01-19T00:00:00Z,Mervyn Canning,1,0,0
1957-01-26T00:00:00Z,Eddie Attwood,1,0,0
1957-01-26T00:00:00Z,Ray Tarr,3,0,0
1957-02-02T00:00:00Z,Eddie Attwood,1,0,0
1957-02-09T00:00:00Z,Ray Tarr,1,0,0
1957-02-09T00:00:00Z,Derek Woodford,1,0,0
1957-02-09T00:00:00Z,Eddie Attwood,2,0,0
1957-02-09T00:00:00Z,Mervyn Canning,1,0,0
1957-02-16T00:00:00Z,Windmill,1,0,0
1957-02-16T00:00:00Z,Eddie Attwood,1,0,0
1957-02-16T00:00:00Z,Ray Tarr,1,0,0
1957-02-23T00:00:00Z,Derek Woodford,1,0,0
1957-02-23T00:00:00Z,Ray Tarr,1,0,0
1957-02-23T00:00:00Z,OG,1,0,1
1957-03-09T00:00:00Z,Eddie Attwood,1,0,0
1957-03-09T00:00:00Z,Pete Downs,1,0,0
1957-03-09T00:00:00Z,Ray Tarr,1,0,0
1957-03-16T00:00:00Z,Mervyn Canning,1,0,0
1957-03-16T00:00:00Z,OG,1,0,1
1957-03-23T00:00:00Z,Gerry Fielding,3,0,0
1957-03-23T00:00:00Z,Ray Tarr,4,0,0
1957-03-23T00:00:00Z,Bill Holloway,1,0,0
1957-03-30T00:00:00Z,Eddie Attwood,1,0,0
1957-03-30T00:00:00Z,Hazzall,1,0,0
1957-04-06T00:00:00Z,Ray Tarr,1,0,0
1957-04-06T00:00:00Z,Eddie Attwood,1,0,0
1957-04-13T00:00:00Z,Eddie Attwood,1,0,0
1957-04-13T00:00:00Z,Ray Tarr,1,0,0
1957-04-17T00:00:00Z,Eddie Attwood,1,0,0
1957-04-17T00:00:00Z,Ray Tarr,1,0,0
1957-04-19T00:00:00Z,Ray Tarr,2,0,0
1957-04-19T00:00:00Z,OG,1,0,1
1957-04-20T00:00:00Z,Eddie Attwood,2,0,0
1957-04-20T00:00:00Z,Derek Woodford,2,0,0
1957-04-20T00:00:00Z,Mervyn Canning,1,0,0
1957-04-20T00:00:00Z,Bill Cuff,1,0,0
1957-04-24T00:00:00Z,Ray Tarr,2,0,0
